"visitor_id","visit_date","source","lead_id","created_at","amount","closing_reason","status_id"
"0c12da089c413e0eb38283a6d784a0fc1235f095",2023-06-21 22:48:45.047,google,"25043949",2023-06-21 22:20:38.000,356400,Успешная продажа,142
"5b4c17ee7b2d60aeba27c2700b083bc0dc3a064e",2023-06-01 16:00:22.570,google,"51394045",2023-06-01 19:43:02.000,242248,Успешная продажа,142
"02807d6460502a1bc7bfe2429c855416371a621e",2023-06-08 15:21:35.559,google,"75699737",2023-06-08 12:31:32.000,240408,Успешная продажа,142
"02807d6460502a1bc7bfe2429c855416371a621e",2023-06-08 20:27:28.536,google,"75699737",2023-06-08 12:31:32.000,240408,Успешная продажа,142
"69779f8aaaf5b3361d217d386d6cd58da613f6c9",2023-06-02 08:05:54.402,google,"51110100",2023-06-02 12:09:14.000,223500,Успешная продажа,142
"69779f8aaaf5b3361d217d386d6cd58da613f6c9",2023-06-02 09:03:02.114,google,"51110100",2023-06-02 12:09:14.000,223500,Успешная продажа,142
"69779f8aaaf5b3361d217d386d6cd58da613f6c9",2023-06-02 12:28:04.231,google,"51110100",2023-06-02 12:09:14.000,223500,Успешная продажа,142
"69779f8aaaf5b3361d217d386d6cd58da613f6c9",2023-06-02 13:52:50.312,google,"51110100",2023-06-02 12:09:14.000,223500,Успешная продажа,142
e7331699cb71cfce47f15721a20c02ba7e72aee1,2023-06-20 17:57:06.443,google,"75813315",2023-06-20 21:14:15.000,211083,Успешная продажа,142
"72cc1ed9e40c0f5751e08b155a17460846c35e20",2023-06-01 10:45:05.607,google,"42478172",2023-06-01 14:06:28.000,201150,Успешная продажа,142
